uuid,category,concept,icon_id,reference,primary,all_categories,origin,previous_runs,newest_run,current_drawing,error_count,first_errors
12af7a01-21fd-509d-9eae-c7bfcfdaedd2,health,Oxygen Tank and Clock,oxygen-tank-timer,pictographic-primitives/health/oxygen tank timer_12af7a01-21fd-509d-9eae-c7bfcfdaedd2.svg,spacing,spacing parallel,primitive-make-ray,3,batch-31-20260923,published/failed/solo48/oxygen-tank-timer.svg,7,"mic [valve]: parallel straight edges valve-3 and valve-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [valve-top]: parallel straight edges valve-top-1, valve-top-2 and hose are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (overlap-fallback) | mic [valve-top]: parallel straight edges valve-top-1, valve-top-2 and valve-2 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)"
6c2435e0-bbe9-5122-8cf7-2b3eb32963f3,holidays,Christmas Tree Snow Globe,snow-globe,pictographic-primitives/holidays/snow globe_6c2435e0-bbe9-5122-8cf7-2b3eb32963f3.svg,clearance,clearance,primitive-make-ray,1,20260923T204750549865-ray44,published/failed/solo48/snow-globe.svg,1,internal-spacing [globe / base]: globe-b and base-1 have -3.999 units of ink clearance over 18.5 units; requires 4; review required
a0865ae5-c028-46f5-ade5-f26da83b22c2,holidays,Traditional Drum and Wheat Stalk,vaisakhi-harvest,pictographic-primitives/holidays/vaisakhi harvest_a0865ae5-c028-46f5-ade5-f26da83b22c2.svg,spacing,spacing parallel holes,primitive-make-ray,1,20260923T212125-batch53,published/failed/solo48/vaisakhi-harvest.svg,8,mic [grain-high]: parallel straight edges grain-high and grain-middle are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (overlap-fallback) | mic [drum]: parallel straight edges drum-top and hoop-0 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [hoop-1]: parallel straight edges hoop-1 and drum-bottom are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
be992ed2-ade4-5f64-a515-8f186d7ca8e3,hotels,Do Not Disturb Door Hanger,room-service-do-not-disturb,pictographic-primitives/hotels/room service do not disturb_be992ed2-ade4-5f64-a515-8f186d7ca8e3.svg,clearance,clearance,primitive-make-ray,1,20260923T203112110275-ray40,published/failed/solo48/room-service-do-not-disturb.svg,1,internal-spacing [tag]: hook-return and mouth have 3.523 units of ink clearance over 2.25 units; requires 4; review required
ac8740e0-9a7e-4e67-901d-18b0353d7000,interface-essential,Finger Hand Tapping Selection,dial-finger,pictographic-primitives/interface-essential/dial finger_ac8740e0-9a7e-4e67-901d-18b0353d7000.svg,clearance,clearance,primitive-make-ray,1,20260923T113119Z-gpt6-3648961c,published/failed/solo48/dial-finger.svg,1,internal-spacing [hand]: palm-left and thumb-return have 2.877 units of ink clearance over 4.181 units; requires 4; review required
93ee9247-04b8-4aa1-b24d-f007fa02d450,interface-essential,Horizontal Stepped Progress Indicator,web-form-progress,pictographic-primitives/interface-essential/web form progress_93ee9247-04b8-4aa1-b24d-f007fa02d450.svg,bounds,bounds,primitive-make-ray,2,20260924T055851-bounds-batch3,published/failed/solo48/web-form-progress.svg,1,"canvas/keyshape bounds: visible ink (2, 16, 46, 32) does not match the HRECT_M envelope (2, 8, 46, 40) (deltas [0.0, 8.0, 0.0, 8.0], tolerance 0.0)"
da3a18cb-9766-5ab1-b651-eb447e6f30a2,interface-essential,Overlapping Price Tags,multiple-tags-2,pictographic-primitives/interface-essential/multiple tags 2_da3a18cb-9766-5ab1-b651-eb447e6f30a2.svg,spacing,spacing parallel,primitive-make-ray,1,20260923T122956Z-gpt6-a73db9d8,published/failed/solo48/multiple-tags-2.svg,2,"mic [rear]: parallel straight edges rear-upper-2 and front-right-1, front-right-2 are 2 apart on centerlines (ink gap -2); requires at least 8 centerline / 4 ink (overlap-fallback) | mic [front]: front and hole are 6.485 apart on centerlines nearest (24, 10)<->(28.585, 14.585); (needs 8)"
98f6fd32-ffa9-4713-85d4-721b3399c95c,messages,Thank You Sign Language Hand Gesture,sign-language-thank-you,pictographic-primitives/messages/sign language thank you_98f6fd32-ffa9-4713-85d4-721b3399c95c.svg,bounds,bounds spacing holes,primitive-make-ray,2,20260924T055851-bounds-batch3,published/failed/solo48/sign-language-thank-you.svg,11,"canvas/keyshape bounds: visible ink (3.781, 4, 48, 44) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.218, 0.0, 4.0, 0.0], tolerance 0.0) | mic [index-side]: index-side and middle-left are 0.196 apart on centerlines nearest (19.807, 15.961)<->(20, 16); (needs 8) | mic [palm]: palm and ring-right are 5 apart on centerlines nearest (36, 31)<->(33, 27); (needs 8)"
c167b0e7-d4ac-469d-8f57-09582e267096,mobile,Finger Pressing Down With Force,force-touch-press,pictographic-primitives/mobile/force touch press_c167b0e7-d4ac-469d-8f57-09582e267096.svg,clearance,clearance,primitive-make-ray,2,20260923T184026-gpt-6,published/failed/solo48/force-touch-press.svg,1,internal-spacing [finger]: finger and finger have 1.729 units of ink clearance over 13.703 units; requires 4; review required
8d871e7d-03c3-4f02-90aa-ec0ac69a56b5,mobile,Smartphone Squeeze Gesture,squeeze-sides,pictographic-primitives/mobile/squeeze sides_8d871e7d-03c3-4f02-90aa-ec0ac69a56b5.svg,spacing,spacing parallel holes,primitive-make-ray,2,20260923-batch48-gpt6,published/failed/solo48/squeeze-sides.svg,4,"mic [thumb]: parallel straight edges thumb-2 and phone-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [finger-0]: finger-0 and left-arrow are 3.211 apart on centerlines nearest (7.777, 18.674)<->(6, 16); (needs 8) | mic [phone]: phone and right-arrow are 4 apart on centerlines nearest (34, 12)<->(38, 12); (needs 8)"
2bdfdcc8-48c5-486d-8a22-b5eab51fd4e4,office,People Connection Power Plug,co-working-space-plug-users,pictographic-primitives/office/co working space plug users_2bdfdcc8-48c5-486d-8a22-b5eab51fd4e4.svg,spacing,spacing parallel,primitive-make-ray,2,20260923T164222Z-round2-batch4,published/failed/solo48/co-working-space-plug-users.svg,4,"mic [plug]: parallel straight edges plug-6-1, plug-6-0 and cord-left-2 are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [plug]: parallel straight edges plug-4-0 and cord-left-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (overlap-fallback) | mic [socket]: parallel straight edges socket-4-0 and cord-right-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)"
23b1ca2a-c99d-4a4c-89e3-6ce9e447d5be,other,3D Cube on Smartphone Screen,mobile-phone-cube,pictographic-primitives/other/Mobile Phone Cube_23b1ca2a-c99d-4a4c-89e3-6ce9e447d5be.svg,spacing,spacing parallel,primitive-make-ray,1,20260923T095324Z,published/failed/solo48/mobile-phone-cube.svg,7,mic [cube]: parallel straight edges cube-2 and cube-front-seam are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [cube-front-seam]: parallel straight edges cube-front-seam and cube-5 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [cube]: parallel straight edges cube-6 and cube-top-seam-2 are 6.945 apart on centerlines (ink gap 2.945); requires at least 8 centerline / 4 ink (overlap-fallback)
57a71ef9-0c30-4a25-a290-84a6666d4f6e,other,Banknote Currency Money Bill,money-bill,pictographic-primitives/other/money bill_57a71ef9-0c30-4a25-a290-84a6666d4f6e.svg,clearance,clearance,primitive-make-ray,1,20260923T-batch27-550769,published/failed/solo48/money-bill.svg,8,internal-spacing [note / corner-0]: note-1 and corner-0 have 2.988 units of ink clearance over 3.695 units; requires 4; review required | internal-spacing [note / corner-1]: note-1 and corner-1 have 2.988 units of ink clearance over 3.695 units; requires 4; review required | internal-spacing [note / corner-1]: note-2 and corner-1 have 2.988 units of ink clearance over 3.695 units; requires 4; review required
07459f9b-1db4-4f1f-aeee-4e5113b2f2f4,other,Briefcase with Dollar Sign,briefcase-dollar,pictographic-primitives/other/briefcase dollar_07459f9b-1db4-4f1f-aeee-4e5113b2f2f4.svg,clearance,clearance,primitive-make-ray,2,20260923T160313Z-round2-batch2,published/failed/solo48/briefcase-dollar.svg,2,internal-spacing [dollar]: dollar and dollar have 0.608 units of ink clearance over 3.071 units; requires 4; review required | internal-spacing [dollar]: dollar and dollar have 0.608 units of ink clearance over 3.071 units; requires 4; review required
a2425a69-d3ed-4c10-8e19-41a99038d49e,other,British Pound Sterling Banknote,money-bill-pound,pictographic-primitives/other/money bill pound_a2425a69-d3ed-4c10-8e19-41a99038d49e.svg,clearance,clearance,primitive-make-ray,1,20260923T-batch27-beb069,published/failed/solo48/money-bill-pound.svg,8,internal-spacing [note / corner-0]: note-1 and corner-0 have 2.988 units of ink clearance over 3.695 units; requires 4; review required | internal-spacing [note / corner-1]: note-1 and corner-1 have 2.988 units of ink clearance over 3.695 units; requires 4; review required | internal-spacing [note / corner-1]: note-2 and corner-1 have 2.988 units of ink clearance over 3.695 units; requires 4; review required
150d4701-3c3f-45a7-a26d-8c580a891da1,other,Browser Window with Dollar Sign,browser-dollar-sign-right,pictographic-primitives/other/browser dollar sign right_150d4701-3c3f-45a7-a26d-8c580a891da1.svg,clearance,clearance,primitive-make-ray,2,20260923T160313Z-round2-batch2,published/failed/solo48/browser-dollar-sign-right.svg,2,internal-spacing [dollar]: dollar and dollar have 1.626 units of ink clearance over 3.071 units; requires 4; review required | internal-spacing [dollar]: dollar and dollar have 1.626 units of ink clearance over 3.071 units; requires 4; review required
7ecac39c-d98d-4ff3-af33-ae4cbc274cb3,other,Buy Action Button Icon,rectangle-buy-text,pictographic-primitives/other/rectangle buy text_7ecac39c-d98d-4ff3-af33-ae4cbc274cb3.svg,spacing,spacing parallel holes,primitive-make-ray,1,20260923-201437-batch37,published/failed/solo48/rectangle-buy-text.svg,8,mic [frame]: parallel straight edges frame-2 and y-stem are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [u]: parallel straight edges u-right and u-left are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [b]: parallel straight edges b-stem and frame-6 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
8c9afa4f-6b92-41b3-8bcd-f538c69afde6,other,Calendar With Data Pie Chart,calendar-pie,pictographic-primitives/other/calendar pie_8c9afa4f-6b92-41b3-8bcd-f538c69afde6.svg,clearance,clearance,primitive-make-ray,2,20260923-round2-b03-9425f8,published/failed/solo48/calendar-pie.svg,2,internal-spacing [pie / spoke-diagonal]: pie-br and spoke-diagonal have 2.737 units of ink clearance over 3.997 units; requires 4; review required | internal-spacing [pie / spoke-diagonal]: pie-tl and spoke-diagonal have 2.737 units of ink clearance over 3.997 units; requires 4; review required
14b5dacf-2ae7-4b43-b032-7129b3d49037,other,Calendar with Math Equation,calendar-math,pictographic-primitives/other/calendar math_14b5dacf-2ae7-4b43-b032-7129b3d49037.svg,spacing,spacing parallel,primitive-make-ray,2,20260923-round2-b03-9425f8,published/failed/solo48/calendar-math.svg,4,"mic [calendar-body]: parallel straight edges calendar-body-0 and one-2 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [calendar-body]: calendar-body and one are 5 apart on centerlines nearest (44, 20)<->(39, 20); (needs 8) | mic [two]: two and plus-horizontal are 7.369 apart on centerlines nearest (19.852, 24.203)<->(27, 26); (needs 8)"
0c3535ed-6772-4bdc-aea7-fb01cc99793c,other,Circular Award Ribbon Badge,ribbon-2,pictographic-primitives/other/ribbon 2_0c3535ed-6772-4bdc-aea7-fb01cc99793c.svg,clearance,clearance,primitive-make-ray,2,20260923T202724-batch39,published/failed/solo48/ribbon-2.svg,2,internal-spacing [medal / tail-1]: medal-4 and tail-1-3 have 0.886 units of ink clearance over 4.673 units; requires 4; review required | internal-spacing [medal / tail-0]: medal-5 and tail-0-3 have 0.886 units of ink clearance over 4.673 units; requires 4; review required
d6e3d9b9-b561-4ac3-8008-110d0dfc61d6,other,Clipboard with Dollar Sign,note-dollar-sign,pictographic-primitives/other/note dollar sign_d6e3d9b9-b561-4ac3-8008-110d0dfc61d6.svg,clearance,clearance,primitive-make-ray,3,20260923T194112-batch30-gpt6,published/failed/solo48/note-dollar-sign.svg,2,internal-spacing [dollar-s]: dollar-top-bar and dollar-lower have 1.021 units of ink clearance over 3.75 units; requires 4; review required | internal-spacing [dollar-s]: dollar-upper and dollar-bottom-bar have 1.021 units of ink clearance over 3.75 units; requires 4; review required
dd80ecbb-13f8-47dc-9883-44bd19aa7cc6,other,Computer Monitor Alphabet Display,monitor-letters,pictographic-primitives/other/monitor letters_dd80ecbb-13f8-47dc-9883-44bd19aa7cc6.svg,spacing,spacing parallel pinches holes,primitive-make-ray,1,20260923T-batch27-03aa09,published/failed/solo48/monitor-letters.svg,7,"mic [b-top]: parallel straight edges b-top and b-middle are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [b-middle]: parallel straight edges b-middle and b-bottom are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [screen]: screen and a are 6 apart on centerlines nearest (6, 26)<->(12, 26); (needs 8)"
1aef3c2a-6d0d-43a2-9616-698d70dc5298,other,Computer Monitor with Application Icons,monitor-small-squares,pictographic-primitives/other/monitor small squares_1aef3c2a-6d0d-43a2-9616-698d70dc5298.svg,spacing,spacing parallel,primitive-make-ray,1,20260923T122956Z-gpt6-48f0731b,published/failed/solo48/monitor-small-squares.svg,8,mic [screen]: parallel straight edges screen-0 and square-0-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [square-0]: parallel straight edges square-0-1 and square-0-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [square-0]: parallel straight edges square-0-3 and square-1-1 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
fe4e3f6c-b05b-4d47-b62a-141f6676b4fe,other,Computer Monitor with Letter A,monitor-with-a,pictographic-primitives/other/monitor with a_fe4e3f6c-b05b-4d47-b62a-141f6676b4fe.svg,pinches,pinches holes,primitive-make-ray,1,20260923T122956Z-gpt6-1273a1b1,published/failed/solo48/monitor-with-a.svg,1,holes/pinches: 1 undersized holes; 1 pinches
6cbe1bf6-f7d0-4add-99b4-0d1a57f47f13,other,Computer Monitor with Math Symbols,monitor-math,pictographic-primitives/other/monitor math_6cbe1bf6-f7d0-4add-99b4-0d1a57f47f13.svg,spacing,spacing,primitive-make-ray,1,20260923T-batch27-6f68f6,published/failed/solo48/monitor-math.svg,5,"mic [screen]: screen and plus-v are 5 apart on centerlines nearest (19, 34)<->(19, 29); (needs 8) | mic [screen]: screen and divide-bar are 7 apart on centerlines nearest (42, 16)<->(35, 16); (needs 8) | mic [screen]: screen and divide-dot-0 are 6 apart on centerlines nearest (31, 6)<->(31, 12); (needs 8)"
1e1fac7c-54c5-4468-baea-d2c722f0520d,other,Computer Monitor with Pound Symbol,self-payment-computer-pound,pictographic-primitives/other/self payment computer pound_1e1fac7c-54c5-4468-baea-d2c722f0520d.svg,spacing,spacing parallel,primitive-make-ray,1,batch-41-20260923,published/failed/solo48/self-payment-computer-pound.svg,2,"mic [pound-base]: parallel straight edges pound-base-1 and screen-4, screen-3 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [screen]: screen and pound-turn are 5 apart on centerlines nearest (12, 34)<->(12, 29); (needs 8)"
500267df-8bce-44e8-a3f7-89f2ab1be4c0,other,Crowned Security Shield,shield-3,pictographic-primitives/other/shield 3_500267df-8bce-44e8-a3f7-89f2ab1be4c0.svg,clearance,clearance,primitive-make-ray,1,20260923T203915884942-ray42,published/failed/solo48/shield-3.svg,2,internal-spacing [crown / band]: crown-2 and band have 1.277 units of ink clearance over 5.714 units; requires 4; review required | internal-spacing [crown / band]: crown-5 and band have 1.277 units of ink clearance over 5.714 units; requires 4; review required
e715b082-2f7d-4370-a969-0707c7e743f2,other,Document with Modular Blocks,module-file,pictographic-primitives/other/module file_e715b082-2f7d-4370-a969-0707c7e743f2.svg,spacing,spacing parallel,primitive-make-ray,1,20260923T192815-batch26-gpt-6,published/failed/solo48/module-file.svg,9,mic [document]: parallel straight edges document-3 and module-2-2 are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [module-2]: parallel straight edges module-2-4 and module-1-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [module-1]: parallel straight edges module-1-4 and document-5 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
fc5ffdff-80e9-4119-bf62-fb7c515c5aad,other,Eighteen Plus Calendar,browser-with-18-plus-text,pictographic-primitives/other/browser with 18+ text_fc5ffdff-80e9-4119-bf62-fb7c515c5aad.svg,spacing,spacing parallel,primitive-make-ray,2,20260923-round2-b03-9425f8,published/failed/solo48/browser-with-18-plus-text.svg,9,"mic [calendar-body]: parallel straight edges calendar-body-0 and plus-vertical-1, plus-vertical-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [calendar-body]: calendar-body and one are 6 apart on centerlines nearest (6, 26)<->(12, 26); (needs 8) | mic [header]: header and eight-top are 5 apart on centerlines nearest (23, 18)<->(23, 23); (needs 8)"
3cb36a1f-8edb-4e21-9623-b8c8fac724c3,other,Electric Car with Lightning Bolt,car-flash,pictographic-primitives/other/car flash_3cb36a1f-8edb-4e21-9623-b8c8fac724c3.svg,clearance,clearance,primitive-make-ray,2,20260923-round2-b03-9425f8,published/failed/solo48/car-flash.svg,1,internal-spacing [flash]: flash-1 and flash-3 have -0.170 units of ink clearance over 5.857 units; requires 4; review required
bbec6574-bfdd-4612-9ecb-0def3df626fd,other,Employee Resume Document,rectangle-employee-resume-1,pictographic-primitives/other/rectangle employee resume 1_bbec6574-bfdd-4612-9ecb-0def3df626fd.svg,spacing,spacing parallel,primitive-make-ray,1,20260923-201437-batch37,published/failed/solo48/rectangle-employee-resume-1.svg,6,"mic [text0]: parallel straight edges text0 and text1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [text1]: parallel straight edges text1 and frame-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [frame]: frame and person-head are 6 apart on centerlines nearest (22, 4)<->(22, 10); (needs 8)"
73571a2b-4ed5-4ead-96e1-495841cb43da,other,Euro Payment Smartwatch,smart-watch-circle-euro-sign,pictographic-primitives/other/smart watch circle euro sign_73571a2b-4ed5-4ead-96e1-495841cb43da.svg,spacing,spacing holes,primitive-make-ray,1,20260923T204707-batch43,published/failed/solo48/smart-watch-circle-euro-sign.svg,2,"mic [case]: case and euro-bar are 6.999 apart on centerlines nearest (8.000, 23.945)<->(15, 24); (needs 8) | holes/pinches: 2 undersized holes; 0 pinches"
748d6e5f-8942-4061-a602-5b499075202e,other,Facial Recognition Scan,rectangle-single-man-focus,pictographic-primitives/other/rectangle single man focus_748d6e5f-8942-4061-a602-5b499075202e.svg,spacing,spacing parallel,primitive-make-ray,1,batch-38-20260923,published/failed/solo48/rectangle-single-man-focus.svg,12,mic [panel]: parallel straight edges panel-2 and focus-br-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [panel]: parallel straight edges panel-2 and focus-tr-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [focus-bl]: parallel straight edges focus-bl-1 and panel-6 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
f11ccece-81b6-415d-a20a-a1bdd3fceb3c,other,Female Body Torso,woman-nude,pictographic-primitives/other/woman nude_f11ccece-81b6-415d-a20a-a1bdd3fceb3c.svg,spacing,spacing,primitive-make-ray,1,20260923T212805-batch55,published/failed/solo48/woman-nude.svg,3,"mic [torso--1]: torso--1 and nipple-0 are 4.987 apart on centerlines nearest (15.636, 23.416)<->(20, 21); (needs 8) | mic [torso-1]: torso-1 and nipple-1 are 4.987 apart on centerlines nearest (32.363, 23.416)<->(28, 21); (needs 8) | mic [chest]: chest and navel are 5.559 apart on centerlines nearest (22.269, 25.716)<->(24, 31); (needs 8)"
06655b8e-39ad-4051-aafc-316a27ffb14a,other,GDPR Compliance Badge,gdpr-text-in-rectangle,pictographic-primitives/other/gdpr text in rectangle_06655b8e-39ad-4051-aafc-316a27ffb14a.svg,spacing,spacing parallel pinches holes,primitive-make-ray,1,20260923-batch17-303d32cb,published/failed/solo48/gdpr-text-in-rectangle.svg,9,mic [d-stem]: parallel straight edges d-stem and g-6 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [g]: parallel straight edges g-6 and g-3 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [g]: parallel straight edges g-3 and frame-6 are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal)
